label,event,target_text,response_text
oppose,Santa_Fe_Shooting,,@FoxNews @ShuttleCDRKelly @NRA BS again. The NRA supported the original NICS check and supported the enhanced background checks. Stop lying! Do you not have any facts to support your position?
oppose,Student_Marches,"""Someone sees this as being a hoax. We do not see it as being a hoax. That is a premeditated action and its goal is to create terror."" #PunishAMuslimDay https://t.co/IKkfc5Je5L","There is no place for hate crimes or terror by anyone against anyone. 

#LoveAMuslim #LoveAMuslimDay 
#LoveAMuslim #LoveAMuslimDay 
#LoveAMuslim #LoveAMuslimDay https://t.co/i7AOMlAds8"
oppose,Santa_Fe_Shooting,,"@EdKrassen Wrong, idiot.  Look at history and you’ll see that automatic weapons existed at the time of the drafting of the second amendment."
oppose,Iran_Deal,Iran's revenge was a total flop ■ Israel struck dozens of Iranian military sites ■ Iran's entrenchment in Syria set back months ■ Tehran likely to reconsider policy ■ Israeli politicians' arrogance poses a danger ■ Analysis https://t.co/zFUJ1Rhbdu,"@haaretzcom lies...lies and lies...
1. Iran did not strike Israel
2. Syria did the strikes
3. Syria launched missiles on its own soil ""Golan"" not Israel. And it was successful.
4. Syria retaliated against several earlier Israeli attacks
5. Israel did not attack Iranian bases yesterday."
oppose,General_Terms,"So President Obama knew about Russia before the Election. Why didn’t he do something about it? Why didn’t he tell our campaign? Because it is all a big hoax, that’s why, and he thought Crooked Hillary was going to win!!!",You were given intel proving Putin did it.  You hid it and continue to lie. https://t.co/m1g3PbFJtV
oppose,Student_Marches,'Second Amendment was created by southern US senators to repel slave uprisings' - Larry King https://t.co/YFQYaC6UgP,But that's wrong https://t.co/NAGAzDTEF5
concur,Iran_Deal,"Netanyahu says Iran 'brazenly lying' after signing nuclear deal, moved documents to a secret location

https://t.co/Bpe9hJLpzM",Not only are the Iranians nefarious and lie about their nuclear ambitions but we have to watch the North Koreans very closely and verify everything NK says. https://t.co/MtCvhmTnKf
concur,General_Terms,"We should not move on from, or stop thinking about, how significant it is that after Helsinki and all the walkbacks, @realDonaldTrump tweeted that it was a hoax that Russia interfered in the election.  A spit in the eye of his intelligence community.","With all of the back and forth them flip and flop of the last week isn't it clear where this man's loyalties lie. It's not with United States or with our intelligence community but with Russia, Putin, and whichever oligarchs lent this moron money https://t.co/ev8RpdRMFE"
oppose,General_Terms,"The FISA Court didn't find it the least bit odd that the FBI refers to a vague ""business associate"" in their warrant application?

""CLINTON ASSOCIATE"" is more accurate. And less typing.

But missing details are important to running a conspiracy.

A FISC JUDGE CANNOT BE THAT DUMB.","@thebradfordfile C'mon. Spreading these lies is dangerous. As ridiculous as it seems, some people believe this shit! Truth matters!
Stop the lying!!"
oppose,Student_Marches,"#Trump's TRADE WAR conveniently TARGETS #Ivanka's FASHION COMPETITORS

In ANOTHER ETHICAL MESS, #tariffs announced by the Trump administration EXCLUDE Ivanka Trump's company, but WILL RAISE COSTS for some of her competitors.

#EMOLUMENTS #ETHICS #MAGA #GOP
https://t.co/gDuhKw3LEP",@mog7546 @DewDropInn222 That's BS!
neutral,General_Terms,So you can’t be a talk show host in this Nigeria without having British accent ??? Okuurrr,*fake British accent https://t.co/r5aPLx7CAj
neutral,General_Terms,"“Capitalism needs to be wiped off the face of the earth” said the man that just cashed a 60k book deal check, lives in a guarded multi-million dollar mansion, and travels the world.... @Fuctupmind @RealMAGASteve @SiddonsDan @grizzlemeister @realDonaldTrump https://t.co/RbUDEr6DlU",@TheGreatFeather @superyayadize @Fuctupmind @RealMAGASteve @SiddonsDan @grizzlemeister @realDonaldTrump Fake book writing just a way to funnel payoffs
concur,General_Terms,New: The White House has suspended the practice of publishing public summaries of President Trump's phone calls with world leaders. Bringing an end to a common exercise from Republican and Democratic administrations. @kaitlancollins scoops https://t.co/DioyEvn3Ka,"What could possibly go wrong with further obfuscation by this Administration?

Soon, outside of seriously great journalists who will have to take big risks, or leakers taking big risks, our only source of information will be Fox News.

What do we call that, boys and girls? https://t.co/H0P8wQzOf4"
neutral,General_Terms,Fox &amp; Friends host urges Trump to correct his remarks on Russian election interference: https://t.co/YQKPkSBLdF https://t.co/W5PxWkB5Hl,"@thehill It’s a little late now, there is no taking this back ..."
oppose,Santa_Fe_Shooting,"Did you notice this? PLEASE tell me you noticed it. How could you not?

Believe it or not, I’m actually a little embarrassed FOR him. https://t.co/bZGOXS6Q2g","@chicksonright @tlsg99 Look, there's a lot wrong with Hogg his opinions on gun control. But to make an entire article about his spelling is low picking fruit and cringy. Spend time debating his points, not making fun of his spelling. Not trying to be nasty btw, just trying tp give constructive critique"
oppose,Student_Marches,"The March for our Lives exposed the goal of ‘commonsense gun reform,’ a full repeal of the Second Amendment and a ban on all guns. Join us in the fight to protect YOUR right to own a firearm for self-protection. #DefendTheSecond #2A #NRA https://t.co/iVfnBecoZX",@NRA False
neutral,Santa_Fe_Shooting,"https://t.co/K3CAwcN7DN

PUBLIX GROCERY STORES NEED TO BE SUPPORTED Freak HOGG Staged A ""Die In"" In A Couple Of Stores Where These Lib Kids Go In And Lay Down And Confront Customers In Large Numbers PUBLIX Was Openly Supporting The Republican Gov And NRA...

#TheBrooksBrown",".
.
Guess they are shopping in the wrong store... https://t.co/7x3s042KIw"
concur,Iran_Deal,"Summary:

1. The Iran deal was working

2. Iran was not violating the deal and not developing nuclear weapons

3. Trump has decided to unilaterally violate the deal by reimposing sanctions even though Iran is not violating the deal

https://t.co/LjHhwkP2qJ",Because he’s a liar and a cheat. Israel wants this and he owes them https://t.co/fSK6x1fsMB
neutral,General_Terms,"I'm a history nerd. I can't count the number of times growing up that I wished I could live in periods of great historical importance, when crises shaped our history. I now wanna slap the shit out of my 10 year-old self and tell them to be a kid and enjoy the relative peace.","@cmclymer This is why there is no consensus on whether the old saying, “May you live in interesting times,” is a blessing or a curse."
oppose,Santa_Fe_Shooting,"WATCH: @BernieSanders says it’s “unspeakable” for students to worry about gun violence #MTP #IfItsSunday

Why hasn’t Congress addressed gun violence? ""It’s a three-letter word. It’s the NRA, and it’s Trump and the Republicans who don’t have the guts to stand up to these people."" https://t.co/r7iTjHKOji","@MeetThePress @BernieSanders Total BS. The NRA and its 12 million members are not what politicians fear, its the over 100 million gun owners potential votes politicians fear and rightfully so. Liberals are more interested in feel good policy that has no basis in reality not actual solutions. 🤔 https://t.co/4w9N6BW5oK"
oppose,Santa_Fe_Shooting,"@SenWarren is the FIRST U.S. Senator to take the  #NoNRAMoney pledge 

Please share this video and encourage others from both parties to join her via NoNRAMoney(dot)org
Thank her for taking on the @NRA with a RT. 

https://t.co/FjAi0nfhpJ",@noNRAmoney @SenWarren @NRA Bitch please! Like the NRA would give you money in the first place. This is a bullshit statement but leftists will eat it up and you know that.
concur,Santa_Fe_Shooting,Radicalized by standard @NRA rhetoric: Las Vegas shooter Stephen Paddock claimed Americans need to wake up to government plot to seize guns. He killed  58 people and injured hundreds. https://t.co/o5spRGrG6Q,When will people wake up? THERE IS NO PLOT TO SEIZE GUNS. https://t.co/mXXdt9Duwv
concur,Iran_Deal,"With Trump deal decision due, Netanyahu presents 'new proof of Iran nuclear cheating'
https://t.co/QdlBPDn2zE
Note response of ex @IAEAorg chief inspector
1. Nothing presented that not known since 2005
2. No nuclear arms research since 2009
3. No evidence Iran breaching 2015 deal",Netanyahu was lying. What's new? Next. https://t.co/tNXPlIFIny
oppose,General_Terms,,@realDonaldTrump So fake all your buddies are pleading guilty and going to jail?🙄
concur,Iran_Deal,,"@mickbk And that lie led to the Iraq war! And? Were there any consequences to this liar??? NO. And know - it's kind of a deja-vus! We all should fear the worst! For Iran, for the middle eastern region and for europe."
oppose,General_Terms,Today's aggressive comments by Messrs Varadkar and Barnier show why we are right to be leaving the mafia-like European Union.,"@Jacob_Rees_Mogg Not aggressive, factual, sensible. Your Steve Bannon aggressive &amp; false words make you look like a fool to everyone who's sensible. If there is a mafia holding the UK to ransom it's the ERG. 

Publish your ERG research if it's so great.  Go on let see what it really says."
concur,Santa_Fe_Shooting,"Last shooting Trump promised to raise the buying age on rifles to 21. He taunted Congress not to fear the .@NRA . After Trump himself met with the .@NRA he changed his tune and never spoke of this topic again &amp; went back to ""Thoughts &amp; Prayers"" as a solution. SWAMPY ASS #POTUS!",@USMCH8Trump @bjcreigh @NRA There’s just somethin’ wrong in that dude’s head.
neutral,Iran_Deal,Candace Owens: Obama To Blame For Damaged Race Relations In America (VIDEO) https://t.co/93fxWiLHK3 https://t.co/ldEduvVLJz,"@chuckwoolery https://t.co/Ctowdn51yk 786 Mr T your Boss, Fake Jew in occupy Palestine cause U to lose all credibility with videos of atrocities &amp; inhumane treatment committed against Palestine ppl by your Master while Iran has no history of invading ppl &amp; brutalizing them like your ally..."
oppose,General_Terms,"PM Theresa May met the autocratic Emir of #Qatar today. His govt suppresses civil liberties &amp; dissident voices, mistreats migrant workers, oppresses LGBTs &amp; got to host 2022 World Cup amid allegations of corruption &gt;&gt;  https://t.co/OtkrBYCdC1 Via @khalidalhail #opposeqatarvisit https://t.co/EYXHksf3hG",@PeterTatchell @KhalidAlhail You should visit qatar to see by your eyes how much of these lies you just said are untrue
neutral,Iran_Deal,,"Shut up, Olie. Your corrupt bullshit is so yesterday. Funny how the only leader the Russian NRA could find was you? https://t.co/ogkKhPk4kS"
oppose,Santa_Fe_Shooting,"Now that I graduated from @KentState, I can finally arm myself on campus. I should have been able to do so as a student- especially since 4 unarmed students were shot and killed by the government on this campus. #CampusCarryNow https://t.co/a91fQH44cq","@KaitMarieox @KentState Men and boys have been cop-murdered for holding fake guns in your own stupid state, you privileged dimwit. 
Elsewhere, another open-carry gentleman was murdered by cop for a broken tail light. But, you knew that, didn't you, you ignorant @NRA bint."
concur,Iran_Deal,"The Greatest threat to the US isn't Iran or any other boogeyman; the shills, traitors, pedophiles, warmongerers and parasites within are.

Iran isn't going trying to take our 1A or 2A.
Iran isn't attacking the family unit.
Iran isn't pushing cultural Marxism.
#ThursdayThoughts","Israeli war monger PM Benjamin Netanyahu has a sordid history of lying  to the American people to gain the use of the US military to topple  Israel's enemies.  
He lied about Iraq in 2002. 1 Million people died.
This video will open your eyes to his scam. 
https://t.co/8C5O67W5eR https://t.co/Kp4ZIXzTBv"
oppose,General_Terms,,@realDonaldTrump LIAR! You along with Vputin are the biggest threats to America and to our world peace!
Queries,General_Terms,"We've heard some questions recently about the status of Verification on Twitter, so wanted to address directly. Updating our verification program isn’t a top priority for us right now (election integrity is). Here’s some history &amp; context, and how we plan to put it on our roadmap",@kayvz Why cannot you suspend people in India spreading fake news and abusing people even after reporting millions of times? E.g. Twitter handle Postcard news which I have reported and blocked
concur,Student_Marches,Trump Derangement Syndrome. @JeffreyGuterman should see a counselor about this. https://t.co/UWaIuCphDZ,"@PoliticalShort @michellemalkin @JeffreyGuterman Good grief!  What is wrong with you,man?  Re-evaluate your life!"
oppose,Santa_Fe_Shooting,,Ollie has been a lying sack of shit since the 1980s when he ran the Iran Contra affair for Reagan. It figures he'd wind up at the NRA. https://t.co/o5ZvjCO12S
oppose,General_Terms,"The Fake News Media wants so badly to see a major confrontation with Russia, even a confrontation that could lead to war. They are pushing so recklessly hard and hate the fact that I’ll probably have a good relationship with Putin. We are doing MUCH better than any other country!","@realDonaldTrump You are full of @$&amp;t!  Lies, lies, corruption, lies... ... You and your orange glow will be exposed!"
neutral,Santa_Fe_Shooting,"Incoming NRA president Oliver North blames school shootings in part on children being medicated with Ritalin for too long. ""I'm not a doctor,"" he admits, but links the rise in shootings with Ritalin on @FoxNewsSunday","I say we let them keep talking. There's nothing parents like more than being told they're raising their kids wrong by giving them prescribed medication or buying them movies &amp; video games. Not, you know, by putting ACTUAL weapons in their hands. #NRA https://t.co/l0Lb0sp0ME"
neutral,General_Terms,"President Trump, you’re WRONG. Here are some people who say Russia is STILL targeting our elections: FBI Director Christopher Wray, Director of National Intelligence Dan Coats and Secretary of State Mike Pompeo. It’s not OK to believe a former KGB agent over your own experts! https://t.co/OALEwKHTiK",@SenFeinstein Agolf Twitler lies. He's seen the intelligence reports but chooses to believe Putin https://t.co/SiFR2QVHhN
oppose,Iran_Deal,"The Fake News is working overtime. Just reported that, despite the tremendous success we are having with the economy &amp; all things else, 91% of the Network News about me is negative (Fake). Why do we work so hard in working with the media when it is corrupt? Take away credentials?",@realDonaldTrump Take you away...in handcuffs. You are a lying fascist pig. The punishment to fit your crime should be walking solo through the streets of Iran.
concur,Iran_Deal,Trump pulls the U.S. out of the Iran deal… Looks like Obama got to keep his legacy like Americans got to keep their Doctor!,"Trump lies? About what? Absolutely nothing that matters. Obama's lies cost us all dearly. I use to like my Doctor for starters, red line? And on,,, https://t.co/4ExXQT17TC"
oppose,Santa_Fe_Shooting,"The news of another school shooting, this time in Texas, is appalling.  I’m thankful for the quick response of first responders, who showed extraordinary bravery.","@SenatorCollins Wrong answer.  What you should have said is that you are appalled by yet another school shooting and you will vote for any and all legislation that bans assault weapons, required mandatory background checks for everyone and raises the legal age to acquire and carry a gun to 21."
concur,General_Terms,"Woulda Coulda Shoulda Didn't -- Trump's public embrace of Putin and blatant undermining his own intel chiefs and DOJ included many, many other words than ""would."" 

This is ridiculous.","Anyone who lies daily then offers a retraction, only very foolish people should consider the latest version to be true. Note: he used the same deceptive pattern in Canada, in Belgium, In UK, and then in Finland. https://t.co/BWIrpoeaah"
neutral,Iran_Deal,The fact that #IranLied is not surprising. My question is did #Obama lie with them or was he just stupid?,"A safe bet:
1. #Obama DID lie with #Iran
2. Thinking he could forever get away with all of his lies (#IranDeal and so many more, 9+ intolerable years of them) is just stupid. And arrogant. Beyond belief (ie: Obama) 
#IranLied about nuke development. @BarackObama lies about all. https://t.co/MZhhMwNZge"
concur,General_Terms,"#DeepThoughtsFromTheDeepSouth

Where @algore owns a mansion and a beach house from lying to you about global warming. https://t.co/oosdc0xh2Y","@Quanellxdoofus @algore To think that this lying, repugnant, eco-shill, was a hair's breadth from being President, makes me sick."
concur,Santa_Fe_Shooting,"Guns don’t kill people, 

Too many doors do.

What the actual fuck is wrong with you people?",@Voyager19 @mhoptman What is wrong with these people? They love NRA money more than they love children's lives.
Queries,Santa_Fe_Shooting,"Less than 24 hours after another school shooting, the NRA was looking to sign up more members in the stunned community https://t.co/8I8LzqbdlZ","What is wrong with you @nra Why are responsible, reasonable gun owners still supporting this crap? https://t.co/CE9gdtE6lO"
oppose,Student_Marches,Meet me in the @CNNSitRoom @cnn with @wolfblitzer @Swerdlick @kaitlancollins @GloriaBorger for the latest on the #Russia investigation #Mueller! 6:20 PM EST!,"@thelauracoates @CNNSitRoom @CNN @wolfblitzer @Swerdlick @kaitlancollins @GloriaBorger The phony investigation, where as the real one is just starting...."
oppose,General_Terms,"“Obama hates cynical, dishonest politics — up until the moment he needs it.” https://t.co/D71ywch307",@AriFleischer It is laughable that u have to continue to criticize Obama to justify your sad support of Trump. Obama was a saint compared to the habitual liar in the Oval Office now. Trump has been a complete embarrassment. The world and most people in this country believe he is delusional.
concur,Santa_Fe_Shooting,"Trump on recent shootings: Mental illness leads to gun violence 

Also Trump: Last February, Trump signed a bill making it easier for people with mental illness to buy guns

And you call hillary crooked? Ok.",The President of the United States is counting on us not to be paying attention. Not to remember his LIES!  Expressing hopeful talk around gun control AND EVEN PRAYERS immediately after a school shooting ... And then telling the NRA gun nutz what they want to hear the next week https://t.co/Pwc6sZtBUc
neutral,Santa_Fe_Shooting,"Guns and prayers:  A man shows up to the Santa Fe High School (Texas) shooting with an American flag and a gun.  Another man says ""it's an embarrassment."" https://t.co/TAixNrJCPp",@ScottMcGrew There is no right answer to this because a man with an American flag and a legal gun I assume is his way of making a statement However I do agree this was not the time or place immediately after a school or any shooting
neutral,Iran_Deal,"Key difference in slide displayed yesterday by #Israel's PM #Netanyahu and the one released today to journalists. No mention of work being conducted ""today in 2018"" https://t.co/glAaCp3n00","@ShaiBenari Q:How do you know a politician is lying?
A: His mouth is moving and words are coming out.

About any war with Iran, the sooner the better!
Because, unless USA turns the globe to ashes, the USA will lose...
Yids, go home to Europe!"
concur,General_Terms,"These Poplar Bluff nail makers, again. Didn’t we just talk about these stupid muthafuckaz a couple of weeks ago??? FuKKK those racist hillbillies. 

SORRY, *not* sorry.

FuKKK them.

#MorningJoe",@KarsinXXX And they STILL say...we'll give him time. I'm hoping he changes things. WHAT THE FUCK!!  They are only upset because they are the beneficiaries of his bullshit policies. As long as everyone else gets fucked they're cool.
oppose,Iran_Deal,BREAKING Iran-aligned Houthis in Yemen fire missiles at Saudi capital https://t.co/Ex3uAkVcAj https://t.co/xkZvfkK4QM,@Jerusalem_Post Fake news: Iran has nothing to do with the Houthis. You're not talking to Americans here....
neutral,General_Terms,Mahalo to our awesome volunteers who take time to show their support for @GovHawaii https://t.co/zx49k1x6m1,"@teamdavidige @GovHawaii Looks like good clean politics where we can look at the whole and just hope the best side wins. Trump is he lies and want to kill people and people want to kill him for his lies. Wow, what difference in civilization.😀😃 https://t.co/UDiiuLukFi"
concur,Iran_Deal,,.@realDonaldTrump LIES about everything. https://t.co/cfeg48NW9x
oppose,General_Terms,White House adviser Larry Kudlow: Donald Trump is ‘very attentive’ and ‘loves facts’ https://t.co/y7eFno5pYf,@RawStory Cut it out! America knows Trump with all his lies what does he care about facts he makes up his own facts! Time for con man liar Trump to get the boot he is a proven traitor he knew about Putin's cyber attack before he took office! Liar Trump obstructing justice is a crime!
oppose,Student_Marches,"This is an adorable #MarchForOurLives activist tearing up the United States Constitution.  Also has a video of the same.

Wears a Cuban communist flag and green military jacket like Fidel.

Our kids have lost their way.  Wake up America.  Reform education. https://t.co/KMgUrnwRMg",Stop with the fake photos. You're an embarrassment to conservatives https://t.co/hDED6ncugA
concur,Santa_Fe_Shooting,"BREAKING: ""A man entered a restaurant in Oklahoma and 'opened fire,' injuring at least two people before he was fatally shot by an 'armed citizen,""'police said.""  #2A #NRA #ArmedCitizen https://t.co/tHMXONpLN3",@NRA Thank God for this armed citizen  who saved many lives but you will not see the Fake News media cover it other than Fox News because it wasn’t a slaughter of innocent people.
oppose,General_Terms,"While the NATO meeting in Brussels was an acknowledged triumph, with billions of dollars more being put up by member countries at a faster pace, the meeting with Russia may prove to be, in the long run, an even greater success. Many positive things will come out of that meeting..",@realDonaldTrump It's not possible! He must have an assistant to only keep track of his lies... How can this man lie so much to everyone's face????? https://t.co/F1jAVNO61b
oppose,Santa_Fe_Shooting,,This is extremist bullshit. Ban all guns? Repeal 2nd amendment? That has never been proposed. The #NRA is a master manipulator of the weak and fearful.  No more.  We are the majority and we will not be silent. #DemandAction #GunReformNow https://t.co/Zgk1IAHT8d
oppose,Student_Marches,"The shooting deaths of African-Americans by police officers that have prompted nationwide racial tensions are local matters to be dealt with by local authorities, White House press secretary Sarah Huckabee Sanders told reporters. https://t.co/4i1RLAKljs","@bulldoghill @4evrstardancer @PressSec BS BS BS !!! 
Fn BS you Racist lying excuse for a Pres Sec !! 
Its America’s National problem &amp; Trump made it much worse !!

How much did the NRA pay your Daddy ??
The paid Trump $30M - with #RussianMoneyLaudering !!
#FakeChristians
#TrumpRussia https://t.co/HeE9NCMEwF"
concur,General_Terms,The 98.6℉ Myth: Why Everything You Think You Know About Body Temperature Is a Lie — https://t.co/xFK1aebgZn https://t.co/m8GsOxuAoM,"@mental_floss My average is ~97.6° so anything hotter &amp; I probably have a low grade temperature. I always assumed the 98.6° was probably inaccurate. Also my school wouldn't allow kids over 99° at school, so always missed the mark... I'd have a fever of 98.9° for me and my mom would make me go."
concur,Student_Marches,"I Guess The Marchers Didn’t Want A Gun Free Zone Yesterday. Hmm.
⚔️Fully Protected⚔️

#2A #NRA
#MarchForOurRights 

#AnthemTT45 https://t.co/VZATmfcuUA",It’s just a bunch of bullshit! https://t.co/n3unBUibV4
neutral,General_Terms,"In case you were wondering, women are afraid to report violence, because they know exactly how the abuser will retaliate against them 

He told them.

#domesticviolence #MeToo","@marie_skou The plan make u appear not credible nor believable. Doubt self/lose self through brain wash, gaslight, isolation, dependency, manipulation, intimidation, smear campaigns to further erode. Who would believe u is their hope in the end..."
concur,General_Terms,"BREAKING: Trey Gowdy just stood up to Trump!

“The president either needs to rely on the people that he has chosen to advise him, or those advisers need to re-evaluate whether or not they can serve in this administration,” @TGowdySC told @FoxNews",@EdKrassen @TGowdySC @FoxNews Does that mean Trey Gowdy admits the Nunes memo was all lies?
neutral,General_Terms,"Sarah Sanders says when Trump said “no” the Russians wouldn’t intervene in 2018, he really meant yes. Apparently it takes people at the higher ends of Intelligence to see that “no” means “yes,” “would” means “wouldn’t” and NATO means nothing.

Oh and “nothing” means “everything.”",@RepAdamSchiff Your lying has made you invisible.
neutral,General_Terms,"😳😳😳😳😳😳😳😳😳😳😳😳This is by far the absolute worst worst worst piece of football related material I’ve ever read! From DC United’s programme introducing Wayne Rooney.

📸@kirancmoodley https://t.co/eQvIDR9UoC",@FootballFact101 @kirancmoodley 😂😂😂 Science-fiction.
concur,General_Terms,"It's such a privilege and pleasure to be reading the manuscript for the second book of #TheWildFolk by @WildTalewort coming next year and this feels so pertinent I just have to share: ""It was belief and love that had gotten them this far, and from which all creative ideas came."" https://t.co/L3jrj1U65G","The Wild Folk is an absolutely superb book, and I can't wait to read the second one.  Loved catching up with the Q&amp;A with @WildTalewort in our Fiction Fans group for Usborne organisers today too - fantastic that we have opportunities like this! https://t.co/E16EMM65ju"
oppose,Iran_Deal,"My take on the coming Iran-Israel war in Israel
https://t.co/Qa5gIhCrz0","Bad take, based on a very wrong pretext 

The aggressors are Saudis + Israelis + USA with trabants, vs. Iran

Syria is just a proxy field, similar to Yemen (which is obliviated, it would appear)

Aggressors wish to take down Iran as a relevant factor and that's all there is https://t.co/lHPNxYPJFz"
oppose,General_Terms,"Corbyn receives a huge boost from 36 Jewish groups worldwide, which is awkward for the media https://t.co/vd8ikNef7m via @TheCanaryUK",@riby74 @WMDivision @TheCanaryUK If it’s the @TheCanaryUK you can be sure it’s #FakeNews . Those hard left scum websites are apologists for #antisemitism
oppose,General_Terms,"Theresa May took a big political risk with her Brexit white paper, but Brussels officials say it left them feeling like they're in a time warp https://t.co/5jhqC0j0hc","@POLITICOEurope There was absolutely no risk, the EU 27 were never going to accept it. Just more bullshit and bluster from the most incompetent Government this country has ever had to endure."
neutral,General_Terms,What are some vacation Do’s and Dont’s for y’all?,don’t travel with folks you fake/half ass like https://t.co/r1gZAs9xRH
oppose,Santa_Fe_Shooting,'Too damn many of these': Ted Cruz speaks out in wake of Santa Fe shooting https://t.co/p51N0Q5Hw3 via @houstonchron,"@SenTedCruz @HoustonChron You just appeared at the meeting of the extremist group, the NRA.  You lie regularly about the meaning of the Second Amendment. You are the problem, Senator. https://t.co/K0b9bRXSn2"
neutral,Iran_Deal,Netanyahu expected to reveal documents which allegedly show how #Iran 'cheated' world on nuclear program,"Make sure those documents are legit...
Legit... like the fake Intel reports the US &amp; UK fabricated in order to invade Iraq. 
They're all in cahoots together. https://t.co/VfAUaP0iep"
oppose,Student_Marches,"""As part of our push to rebuild our American infrastructure, we will fight to rebuild our BIE schools, which suffer from a $634 million maintenance backlog for education facilities."" @Interior @SecretaryZinke #Infrastructure2018 #PublicLands https://t.co/cuqXlQUpFx","@WashTimes @Interior @SecretaryZinke Its obvious your loyalties lie with the National Petroleum Council and the NRA. Quite a shame for such a decorated military veteran to sell out the interests and values of USA for oil and gun money! Sincerely, USMC Vet whose integrity is not for sale"
oppose,Iran_Deal,"#Iran was never in compliance with the nuclear deal. It never came clean on its past nuclear activities, and it set up an Atomic Archive so it could resume nuclear weapons work at a moment’s notice. https://t.co/W0ojavQeJT","@PoliticalShort @PoliticalShort A #Fool Who Speaks Without Thought, Sounds Like #NickShort! First, #Stop #Lying About The Inspections Of #Iran's #Military Bases! They Are Subject To #IAEA Inspections! A Little #Fact For #Trump Supporters. You're Not Allowed Unfettered Access On Any Base In #USA!"
Queries,Iran_Deal,"With a major decision on the #Iran deal coming soon, there's new evidence Iran lied. Read to learn more. https://t.co/zBw8ypsPLb",@JaySekulow If 44 and Kerry and Rice lied to us about Syrians Chem weapons do you think they might lie about Iran.  Wasn't there an Iranian in the White House? Valerie Jarret? Is that too much of a stretch?
concur,Student_Marches,"Rubio told the dad of a teen killed in Parkland that he would “support a law” raising the age to purchase guns to 21. He also said he was “reconsidering” his position on high-capacity magazines.

But neither proposal was part of his legislative response. https://t.co/O8Pms3RRnJ",Rubio is a liar just like all of the GOP.  They can not give up the money from the NRA. https://t.co/K1HLLLNrmG
concur,Iran_Deal,,Lie was all they did! https://t.co/s4HXitj0zL
neutral,General_Terms,"Let's have fun 
Reply your name initials with 5sos songs ! Mine is- 

J: Just saying 
A: Airplanes
N: never be 
E: End up here","@bodaciousboycal A - Amnesia
L - Lie To Me
Y - Youngblood"
oppose,Iran_Deal,Valerie Jarrett: Credit Obama for Jobs Report... https://t.co/YkmDnVI2En,She's wrong and more worried about Iran and Muslim Brotherhood and pulling mouse ears strings https://t.co/13Gu3vPHuK
concur,Student_Marches,McCain Blames TRUMP For Syria Gas Attack https://t.co/XBwDdJVYpx https://t.co/qDKtueSzMQ,@HouseCracka What a lying traitor
concur,Iran_Deal,,"The Iran Deal was built on TWO sets of lies. 1) Iran's~honest people knew Iran's Mullah's are wanna be mass murderers.  2) Obama's set of lies were the worst. While pretending to seek peace, Obama was determined to save Iran so they could continue to be a plague upon the West. https://t.co/W99aVfz5vn"
neutral,General_Terms,https://t.co/NnnFA2fByx If you missed the stream YouTube has finished processing it! #FateGOUSA #FateGrandOrder #fgona #FGO #FateGO,"@Emperor_Justin Unlucky start but very happy that you got Altria Lancer and to NP3 already!

I am still ringing with myself if to try for the Medb&amp;Co. or just wait for Summer Summons as Rate Ups are a lie anyway ..."
oppose,Santa_Fe_Shooting,"“...we fight for you whether you’re black, white, rich, poor, gay, or straight — because your life matters equally.” To watch the full video, visit ➡️ https://t.co/IDneMdGq1J #2A #NRAAM https://t.co/md7fsfG4mr","@NRA If they gave out an a award for biggest load of bullshit, this would definitely win it."
Queries,Student_Marches,,"@GrizzleMeister @IvanTrumpovic1 What is wrong with British people? Britain is a traditional Christian country, that is why British can eastablish the democrocy and science system, why does domocrocy does not work well to bring the order, but chaos? Should British deeply think about it?"
concur,General_Terms,"Remarkable: DHS Sec Nielsen doubles down and says “I haven’t seen any evidence” Russian election interference was intended to help Trump, contradicting IC assessment #AspenSecurity","@jimsciutto Yeah, well, we all know that @SecNielsen is a liar."
oppose,General_Terms,"How old were you when you found out it's ""Ring around the Rosie"" and not ""Ringa ringa roses"".

I was today's years old.",you lying girl. https://t.co/i9cCLFpe2P
oppose,General_Terms,".@PressSec says Trump wasn't saying ""no"" to the question of whether Russia is targeting U.S. elections, he was saying ""no"" to answering the question.",That is a lie. https://t.co/E50YdCZfYH
concur,General_Terms,I don’t know why these idiots like making it so easy for Tucker! LOL. Tucker Carlson OBLITERATED Pathetic Dem Who Called Trump A Traitor https://t.co/wC4o70Ab1T,"@RealJack Eric Swalwell should resign for making false accusations of ""Traitor"" to President Trump! Dems have to stop making false accusations!"
neutral,Iran_Deal,"Rudy Giuliani tells @seanhannity POTUS reimbursed the $130,000 lawyer Michael Cohen paid Stormy Daniels, which would mean it was not an illegal campaign contributions by Cohen.",@brithume @Cernovich @seanhannity Everyone lies..... Obama lied about Iran Nuclear Deal
oppose,Iran_Deal,,"More #FakeNews that shows up a year later now that every rock thrown hasn't broken the glass.
#wiunion #wiright #wipolitics https://t.co/FNq5tqpvO3"
oppose,Iran_Deal,,@realDonaldTrump There is zero evidence that Iran was violating the terms of the accord. Iran did nothing wrong. You've made the works more dangerous.
oppose,Santa_Fe_Shooting,This Santa Fe High School baseball player is perfectly fine after being shot in the head https://t.co/rob8vPDLtR https://t.co/QIlyhFhJ4F,Unless it erased his memory of the school shooting imma go ahead and call bullshit. https://t.co/0byrmUM2db
